variable,descripcion,tablas_fuente,dominio,p_featuregroup
flg_clicambfch09m,Indicador si el cliente solicito un cambio de fecha en los 9 últimos meses,t_agg_cambiofecha_hist_rsk,ibk-fs-acoe-journey,ibk-fs-group-emp-journey-mes
avg_porcsald_principales,"Porcentaje promedio de deudas del cliente con principales entidades: BCP, BBVA, SBP e IBK",t_rsk_vars_rcc_principalidad,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
avg_porcsald_retail,"Porcentaje promedio de deudas del cliente en entidades financieras de retail: CENCOSUD, RIPLEY, FALABELLA, FINANCIERA UNO",t_rsk_vars_rcc_principalidad,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
beta_entidadesdistrd_u1a,Tendencia del número de entidades distintas totales en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
beta_pctusotctot_u1a,Tendencia del porcentaje de uso tarjeta de crédito total del sistema financiero en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
beta_sldp_u1a,Tendencia del saldo préstamo personal y préstamo consumo en los últimos 12 meses ,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
beta_sldpc_u1a,Tendencia del saldo de préstamos comerciales en el último año,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
beta_sldtcpn_u1a,valor beta saldo tarjeta de crédito persona natural último año,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
beta_sldtctot_u1a,Tendencia del saldo tarjeta de crédito total del sistema financiero en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cant_proddist12m,Cantidad de productos distintos en los 12um,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cnt_mora_tramo0_18m_no_ibk,Cantidad de meses en vigente en tarjeta de crédito y préstamo personal del sistema financiero en los u18m,t_rsk_ds_vars_mora_tc_pp_ssff_bank,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cre_1m_saldosf,Crecimiento del saldo vigente tc en el sssff último mes.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cre_1m_saldotc,Crecimiento del saldo total de las tarjetas de crédito en el Sistema Financiero en el último mes.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cre_4m_saldo,Crecimiento del saldo total de las tarjetas de crédito en el Sistema Financiero en los últimos 4 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cre_7m_saldo,Saldo total rcc últimos 7 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cre_salvig_tc_rccsf_m12,Crecimiento del saldo vigente de tarjeta de crédito del sistema financiero en los últimos 12 meses,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cre_sld_tot_tc_sf_0m_10m,crecimiento del saldo total del mes actual en tarjeta de crédito en sistema financiero respecto a los ultimos 10 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cre_sld_tot_tc_sf_0m_2m,crecimiento del saldo total del mes actual en tarjeta de crédito en sistema financiero respecto a los ultimos 2 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cre_sldvigconvssff03m,Crecimiento de saldo vigente convenio sistema financiero en los últimos 3 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cre_sldvigssff03m,Crecimiento de saldo vigente en sistema financiero. en los últimos 3 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
